country_code,country,region,indicator,indicator_label,value,year,unit,source
ESP,España,Europa,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
ESP,España,Europa,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
PRT,Portugal,Europa,internet_secundaria,Centros de secundaria con internet pedagógico,97.1,2022,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
PRT,Portugal,Europa,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,97.5,2023,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
FRA,Francia,Europa,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2022,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
FRA,Francia,Europa,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,77.9,2023,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
FIN,Finlandia,Europa,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
FIN,Finlandia,Europa,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
EST,Estonia,Europa,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2025,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
EST,Estonia,Europa,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,100.0,2025,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
USA,Estados Unidos,América,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2022,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
USA,Estados Unidos,América,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,95.1,2023,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
BRA,Brasil,América,internet_secundaria,Centros de secundaria con internet pedagógico,59.4,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
BRA,Brasil,América,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,82.7,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
CHL,Chile,América,internet_secundaria,Centros de secundaria con internet pedagógico,97.7,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
CHL,Chile,América,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,87.4,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
COL,Colombia,América,internet_secundaria,Centros de secundaria con internet pedagógico,81.3,2022,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
COL,Colombia,América,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,91.6,2022,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
JPN,Japón,Asia-Pacífico,internet_secundaria,Centros de secundaria con internet pedagógico,99.1,2022,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
JPN,Japón,Asia-Pacífico,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,100.0,2023,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
KOR,Corea,Asia-Pacífico,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
KOR,Corea,Asia-Pacífico,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
SGP,Singapur,Asia-Pacífico,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2023,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
SGP,Singapur,Asia-Pacífico,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,100.0,2023,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
AUS,Australia,Asia-Pacífico,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
AUS,Australia,Asia-Pacífico,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
ARE,Emiratos Árabes Unidos,Oriente Medio,internet_secundaria,Centros de secundaria con internet pedagógico,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
ARE,Emiratos Árabes Unidos,Oriente Medio,ordenadores_secundaria,Centros de secundaria con ordenadores pedagógicos,100.0,2024,% de centros,"UNESCO UIS SDG 4 Education Indicators, indicator 4.a.1"
