country_code,country,region,training_ai_pct,high_need_ai_pct,need_training_gap,level,source
AUS,Australia,Asia-Pacífico,53.8,25.8,-28.0,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
BRA,Brasil,América,44.7,38.6,-6.1,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
CHL,Chile,América,42.3,41.5,-0.8,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
COL,Colombia,América,47.8,42.5,-5.3,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
KOR,Corea,Asia-Pacífico,61.9,33.2,-28.7,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
ARE,Emiratos Árabes Unidos,Oriente Medio,72.5,28.2,-44.3,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
ESP,España,Europa,26.1,29.7,3.6,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
USA,Estados Unidos,América,46.1,21.7,-24.4,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
EST,Estonia,Europa,50.7,18.4,-32.3,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
FIN,Finlandia,Europa,38.3,22.8,-15.5,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
FRA,Francia,Europa,8.9,23.9,15.0,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
JPN,Japón,Asia-Pacífico,23.6,26.0,2.4,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
PRT,Portugal,Europa,26.2,34.8,8.6,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
SGP,Singapur,Asia-Pacífico,75.7,31.5,-44.2,ISCED 2,"OECD, TALIS 2024 Results, Tables 4.22 and 4.27"
