country_code,country,region,ai_use_pct,standard_error,level,source
AUS,Australia,Asia-Pacífico,65.8,1.99,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
BRA,Brasil,América,56.1,2.16,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
CHL,Chile,América,55.4,2.36,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
COL,Colombia,América,52.8,2.29,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
KOR,Corea,Asia-Pacífico,42.7,1.75,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
ARE,Emiratos Árabes Unidos,Oriente Medio,75.0,1.92,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
ESP,España,Europa,35.3,1.39,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
USA,Estados Unidos,América,42.7,3.4,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
EST,Estonia,Europa,35.0,1.55,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
FIN,Finlandia,Europa,26.9,1.59,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
FRA,Francia,Europa,13.5,1.22,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
JPN,Japón,Asia-Pacífico,17.4,1.11,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
PRT,Portugal,Europa,30.5,1.68,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
SGP,Singapur,Asia-Pacífico,74.9,2.66,ISCED 2,"OECD, TALIS 2024 Results, Table 1.59"
